"x"
"rndtr"	0.363368728813559
"rndtrPPD"	0.367073474576271
"rndex"	0.0444032610169491
"rndexPPD"	0.0439621406779661
"rndin"	0.0730150559322034
"rndinPPD"	0.078203606779661
"rztr"	0.313147894915254
"rztrPPD"	0.314268045762712
"rzex"	0.044429593220339
"rzexPPD"	0.0464397525423729
"rzin"	0.0624317084745763
"rzinPPD"	0.0637363508474576
"rndVND1"	0.0400217338983051
"rndVND1PPD"	0.0403903694915254
"rzVND1"	0.0390224233898305
"rzVND1PPD"	0.0398960101694915
"rndVND2"	0.0490132169491525
"rndVND2PPD"	0.0496005610169492
"rzVND2"	0.0436353711864407
"rzVND2PPD"	0.0444330338983051
