"x"
"rndtr"	0.00410154139901758
"rndtrPPD"	0.0209145657495366
"rndex"	0.205068579326366
"rndexPPD"	1.68444593138782
"rndin"	0.718143850550855
"rndinPPD"	5.86922627606816
"rztr"	0.0166662662643273
"rztrPPD"	0.0223524954827607
"rzex"	0.222086675534635
"rzexPPD"	1.60148338326248
"rzin"	0.673375499739347
"rzinPPD"	4.6908978532516
"rndVND1"	2.16133924461847
"rndVND1PPD"	1.92994352141586
"rzVND1"	1.99595577963155
"rzVND1PPD"	2.10381331781707
"rndVND2"	7.35157137555672
"rndVND2PPD"	5.86194528261712
"rzVND2"	7.05522016509857
"rzVND2PPD"	5.1184048262286
